lake,motorbike,mindthegap,speech,laughter,footstepsongrass,keylock,switch,trolley,keys,knock,train,cooking,cough,pushbike,doorslam,buspassby,checkoutbeeps,drawer,phone,doorclose,lightrain,running,gate,birdsong,footsteps,money,clearthroat,slidingDoorclose,wind,chairsmoving,bagrustle
[[0.2827254]],[[0.41062707]],[[0.4019829]],[[5.9604645e-08]],[[0.18914878]],[[0.36215508]],[[0.33310068]],[[0.26237464]],[[0.28104365]],[[0.26384473]],[[0.29622233]],[[0.23521554]],[[0.43017572]],[[0.30147338]],[[0.42429197]],[[0.3433864]],[[0.3894639]],[[0.42116517]],[[0.2854858]],[[0.31131268]],[[0.2806039]],[[0.4432968]],[[0.37620544]],[[0.20669568]],[[0.33219004]],[[0.27873224]],[[0.28612816]],[[0.2727052]],[[0.43408626]],[[0.29228163]],[[0.33778942]],[[0.26869774]]
[[0.6640178]],[[0.5525258]],[[0.64582366]],[[0.39538503]],[[0.54513645]],[[0.6471408]],[[0.6172007]],[[0.6280311]],[[0.61831164]],[[0.61432326]],[[0.53287816]],[[0.56010485]],[[0.61021304]],[[0.5790658]],[[0.64779735]],[[0.59871864]],[[0.6031831]],[[0.65260506]],[[0.6527548]],[[0.5740082]],[[0.64184695]],[[0.67288077]],[[0.6234121]],[[0.652616]],[[0.6311603]],[[0.6145771]],[[0.49522382]],[[0.60757005]],[[0.70544827]],[[0.5697782]],[[0.47038472]],[[0.60833895]]
[[0.6664352]],[[0.6850032]],[[0.6778666]],[[0.45120776]],[[0.62754405]],[[0.5968497]],[[0.67858243]],[[0.6299195]],[[0.67984843]],[[0.65754265]],[[0.6791188]],[[0.6334492]],[[0.64934295]],[[0.6991618]],[[0.6925261]],[[0.64309067]],[[0.5705116]],[[0.60709786]],[[0.60677373]],[[0.6345376]],[[0.6548135]],[[0.6703318]],[[0.69929993]],[[0.6811491]],[[0.54758]],[[0.59655535]],[[0.660288]],[[0.6341242]],[[0.6749461]],[[0.61710215]],[[0.51485944]],[[0.64792603]]
[[0.5251416]],[[0.5801667]],[[0.5719092]],[[0.35095358]],[[0.48314124]],[[0.564988]],[[0.5010425]],[[0.5318109]],[[0.5176329]],[[0.5108007]],[[0.4585567]],[[0.5097081]],[[0.60160387]],[[0.5663545]],[[0.5860888]],[[0.5929709]],[[0.48804718]],[[0.5191655]],[[0.53222173]],[[0.45483315]],[[0.54116106]],[[0.5642273]],[[0.6109925]],[[0.60428584]],[[0.52708876]],[[0.48720473]],[[0.5265974]],[[0.5428704]],[[0.603176]],[[0.6001827]],[[0.47206825]],[[0.54670787]]
[[0.34318286]],[[0.4457907]],[[0.40635622]],[[0.13584775]],[[0.19469506]],[[0.3790866]],[[0.3376881]],[[0.28200924]],[[0.2833761]],[[0.26973498]],[[0.2624001]],[[0.29028964]],[[0.39252353]],[[0.29276878]],[[0.4970529]],[[0.3740409]],[[0.39791042]],[[0.43776238]],[[0.2959947]],[[0.31554997]],[[0.31173962]],[[0.44606274]],[[0.40244365]],[[0.2599638]],[[0.34254777]],[[0.29931128]],[[0.31041336]],[[0.3167963]],[[0.4382888]],[[0.31654525]],[[0.29223138]],[[0.31094873]]
[[0.382401]],[[0.41512132]],[[0.3277248]],[[0.2201451]],[[0.27382135]],[[0.26479495]],[[0.22139609]],[[0.34185386]],[[0.34209305]],[[0.27171946]],[[0.2170968]],[[0.29458964]],[[0.47146523]],[[0.17957342]],[[0.4525532]],[[0.3562274]],[[0.5633075]],[[0.3726511]],[[0.26164794]],[[0.42787766]],[[0.31169277]],[[0.43893993]],[[0.42784756]],[[0.28271377]],[[0.30815625]],[[0.34174705]],[[0.35338938]],[[0.19954228]],[[0.38840592]],[[0.3585891]],[[0.47864485]],[[0.2300371]]
[[0.43768525]],[[0.4128433]],[[0.3946669]],[[0.2438711]],[[0.2174589]],[[0.32825536]],[[0.32790655]],[[0.37271702]],[[0.35991204]],[[0.34719795]],[[0.23369372]],[[0.396127]],[[0.43000793]],[[0.25372934]],[[0.46301246]],[[0.35095167]],[[0.41464388]],[[0.38984257]],[[0.354302]],[[0.4301964]],[[0.34394932]],[[0.42218983]],[[0.39379257]],[[0.3207004]],[[0.30920613]],[[0.33926004]],[[0.36647737]],[[0.3520168]],[[0.46545905]],[[0.34964335]],[[0.39160585]],[[0.29420543]]
[[0.44818735]],[[0.47437]],[[0.45107603]],[[0.21681327]],[[0.42948318]],[[0.41060364]],[[0.4090017]],[[0.35800034]],[[0.42487472]],[[0.37164503]],[[0.41936702]],[[0.36126232]],[[0.49792385]],[[0.47365534]],[[0.48044425]],[[0.4705689]],[[0.5330818]],[[0.4071253]],[[0.39234197]],[[0.3727334]],[[0.37000751]],[[0.5723777]],[[0.55685735]],[[0.40742344]],[[0.36303985]],[[0.42203283]],[[0.47008324]],[[0.35168898]],[[0.42913342]],[[0.42900276]],[[0.5148156]],[[0.3783726]]
[[0.39298743]],[[0.44468057]],[[0.39356112]],[[0.25211108]],[[0.22750342]],[[0.27144152]],[[0.33609617]],[[0.33299088]],[[0.38289642]],[[0.3655461]],[[0.26308405]],[[0.37404978]],[[0.5309184]],[[0.11655039]],[[0.4541427]],[[0.38663328]],[[0.4959321]],[[0.34417462]],[[0.3500359]],[[0.42844677]],[[0.34664476]],[[0.37384635]],[[0.4005218]],[[0.28322172]],[[0.3397839]],[[0.33748955]],[[0.36468232]],[[0.25787473]],[[0.44945872]],[[0.27221608]],[[0.42165536]],[[0.29226518]]
[[0.24645185]],[[0.4336236]],[[0.31078148]],[[0.18599719]],[[0.1562537]],[[0.3019446]],[[0.28168184]],[[0.2334488]],[[0.30402136]],[[0.2709632]],[[0.19714701]],[[0.284549]],[[0.4970504]],[[0.19898331]],[[0.39044333]],[[0.2982195]],[[0.43278837]],[[0.36143816]],[[0.25688547]],[[0.36613154]],[[0.23631549]],[[0.3526467]],[[0.38416517]],[[0.14352691]],[[0.2957464]],[[0.29532784]],[[0.30236018]],[[0.21825242]],[[0.3990227]],[[0.25043637]],[[0.49129295]],[[0.17822957]]
